Date,dax
2010-01-04,6048.2998046875
2010-01-05,6031.85986328125
2010-01-06,6034.330078125
2010-01-07,6019.35986328125
2010-01-08,6037.60986328125
2010-01-11,6040.5
2010-01-12,5943.0
2010-01-13,5963.14013671875
2010-01-14,5988.8798828125
2010-01-15,5875.97021484375
2010-01-18,5918.5498046875
2010-01-19,5976.47998046875
2010-01-20,5851.52978515625
2010-01-21,5746.97021484375
2010-01-22,5695.31982421875
2010-01-25,5631.3701171875
2010-01-26,5668.93017578125
2010-01-27,5643.2001953125
2010-01-28,5540.330078125
2010-01-29,5608.7900390625
2010-02-01,5654.47998046875
2010-02-02,5709.66015625
2010-02-03,5672.08984375
2010-02-04,5533.240234375
2010-02-05,5434.33984375
2010-02-08,5484.85009765625
2010-02-09,5498.259765625
2010-02-10,5536.3701171875
2010-02-11,5503.93017578125
2010-02-12,5500.39013671875
2010-02-15,5511.10009765625
2010-02-16,5592.1201171875
2010-02-17,5648.33984375
2010-02-18,5680.41015625
2010-02-19,5722.0498046875
2010-02-22,5688.43994140625
2010-02-23,5604.06982421875
2010-02-24,5615.509765625
2010-02-25,5532.330078125
2010-02-26,5598.4599609375
2010-03-01,5713.509765625
2010-03-02,5776.56005859375
2010-03-03,5817.8798828125
2010-03-04,5795.31982421875
2010-03-05,5877.35986328125
2010-03-08,5875.91015625
2010-03-09,5885.89013671875
2010-03-10,5936.72021484375
2010-03-11,5928.6298828125
2010-03-12,5945.10986328125
2010-03-15,5903.56005859375
2010-03-16,5970.990234375
2010-03-17,6024.27978515625
2010-03-18,6012.31005859375
2010-03-19,5982.43017578125
2010-03-22,5987.5
2010-03-23,6017.27001953125
2010-03-24,6039.0
2010-03-25,6132.9501953125
2010-03-26,6120.0498046875
2010-03-29,6156.85009765625
2010-03-30,6142.4501953125
2010-03-31,6153.5498046875
2010-04-01,6235.56005859375
2010-04-06,6252.2099609375
2010-04-07,6222.41015625
2010-04-08,6171.830078125
2010-04-09,6249.7001953125
2010-04-12,6250.68994140625
2010-04-13,6230.830078125
2010-04-14,6278.39990234375
2010-04-15,6291.4501953125
2010-04-16,6180.89990234375
2010-04-19,6162.43994140625
2010-04-20,6264.22998046875
2010-04-21,6230.3798828125
2010-04-22,6168.72021484375
2010-04-23,6259.52978515625
2010-04-26,6332.10009765625
2010-04-27,6159.509765625
2010-04-28,6084.33984375
2010-04-29,6144.91015625
2010-04-30,6135.7001953125
2010-05-03,6166.919921875
2010-05-04,6006.85986328125
2010-05-05,5958.4501953125
2010-05-06,5908.259765625
2010-05-07,5715.08984375
2010-05-10,6017.91015625
2010-05-11,6037.7099609375
2010-05-12,6183.490234375
2010-05-13,6251.97021484375
2010-05-14,6056.7099609375
2010-05-17,6066.919921875
2010-05-18,6155.93017578125
2010-05-19,5988.669921875
2010-05-20,5867.8798828125
2010-05-21,5829.25
2010-05-24,5805.68017578125
2010-05-25,5670.0400390625
2010-05-26,5758.02001953125
2010-05-27,5937.14013671875
2010-05-28,5946.18017578125
2010-05-31,5964.330078125
2010-06-01,5981.27001953125
2010-06-02,5981.2001953125
2010-06-03,6054.6298828125
2010-06-04,5938.8798828125
2010-06-07,5904.9501953125
2010-06-08,5868.5498046875
2010-06-09,5984.75
2010-06-10,6056.58984375
2010-06-11,6047.830078125
2010-06-14,6125.0
2010-06-15,6175.0498046875
2010-06-16,6190.91015625
2010-06-17,6223.5400390625
2010-06-18,6216.97998046875
2010-06-21,6292.97021484375
2010-06-22,6269.0400390625
2010-06-23,6204.52001953125
2010-06-24,6115.47998046875
2010-06-25,6070.60009765625
2010-06-28,6157.22021484375
2010-06-29,5952.02978515625
2010-06-30,5965.52001953125
2010-07-01,5857.43017578125
2010-07-02,5834.14990234375
2010-07-05,5816.2001953125
2010-07-06,5940.97998046875
2010-07-07,5992.85986328125
2010-07-08,6035.66015625
2010-07-09,6065.240234375
2010-07-12,6077.18994140625
2010-07-13,6191.1298828125
2010-07-14,6209.759765625
2010-07-15,6149.35986328125
2010-07-16,6040.27001953125
2010-07-19,6009.10986328125
2010-07-20,5967.490234375
2010-07-21,5990.3798828125
2010-07-22,6142.14990234375
2010-07-23,6166.33984375
2010-07-26,6194.2099609375
2010-07-27,6207.31005859375
2010-07-28,6178.93994140625
2010-07-29,6134.7001953125
2010-07-30,6147.97021484375
2010-08-02,6292.1298828125
2010-08-03,6307.91015625
2010-08-04,6331.330078125
2010-08-05,6333.580078125
2010-08-06,6259.6298828125
2010-08-09,6351.60009765625
2010-08-10,6286.25
2010-08-11,6154.06982421875
2010-08-12,6135.169921875
2010-08-13,6110.41015625
2010-08-16,6110.56982421875
2010-08-17,6206.39990234375
2010-08-18,6186.31005859375
2010-08-19,6075.1298828125
2010-08-20,6005.16015625
2010-08-23,6010.91015625
2010-08-24,5935.43994140625
2010-08-25,5899.5
2010-08-26,5912.580078125
2010-08-27,5951.169921875
2010-08-30,5912.41015625
2010-08-31,5925.22021484375
2010-09-01,6083.89990234375
2010-09-02,6083.85009765625
2010-09-03,6134.6201171875
2010-09-06,6155.0400390625
2010-09-07,6117.89013671875
2010-09-08,6164.43994140625
2010-09-09,6221.52001953125
2010-09-10,6214.77001953125
2010-09-13,6261.68017578125
2010-09-14,6275.41015625
2010-09-15,6261.8701171875
2010-09-16,6249.64990234375
2010-09-17,6209.759765625
2010-09-20,6294.580078125
2010-09-21,6275.97998046875
2010-09-22,6208.330078125
2010-09-23,6184.7099609375
2010-09-24,6298.2998046875
2010-09-27,6278.89013671875
2010-09-28,6276.08984375
2010-09-29,6246.919921875
2010-09-30,6229.02001953125
2010-10-01,6211.33984375
2010-10-04,6134.2099609375
2010-10-05,6215.830078125
2010-10-06,6270.72998046875
2010-10-07,6276.25
2010-10-08,6291.669921875
2010-10-11,6309.509765625
2010-10-12,6304.56982421875
2010-10-13,6434.52001953125
2010-10-14,6455.27001953125
2010-10-15,6492.2998046875
2010-10-18,6516.6298828125
