Date,spy,tlt,gld,vix,hyg
2010-01-04,113.33000183105469,89.80999755859375,109.80000305175781,20.040000915527344,88.52999877929688
2010-01-05,113.62999725341797,90.38999938964844,109.69999694824219,19.350000381469727,88.94999694824219
2010-01-06,113.70999908447266,89.18000030517578,111.51000213623047,19.15999984741211,89.18000030517578
2010-01-07,114.19000244140625,89.33000183105469,110.81999969482422,19.059999465942383,89.54000091552734
2010-01-08,114.56999969482422,89.29000091552734,111.37000274658203,18.1299991607666,89.68000030517578
2010-01-11,114.7300033569336,88.80000305175781,112.8499984741211,17.549999237060547,89.5999984741211
2010-01-12,113.66000366210938,90.31999969482422,110.48999786376953,18.25,89.13999938964844
2010-01-13,114.62000274658203,89.2699966430664,111.54000091552734,17.850000381469727,89.33999633789062
2010-01-14,114.93000030517578,90.5199966430664,112.02999877929688,17.6299991607666,89.44000244140625
2010-01-15,113.63999938964844,91.08000183105469,110.86000061035156,17.90999984741211,89.08000183105469
2010-01-19,115.05999755859375,90.81999969482422,111.5199966430664,17.579999923706055,89.12000274658203
2010-01-20,113.88999938964844,91.73999786376953,108.94000244140625,18.68000030517578,88.98999786376953
2010-01-21,111.69999694824219,92.16000366210938,107.37000274658203,22.270000457763672,87.5999984741211
2010-01-22,109.20999908447266,92.0,107.16999816894531,27.309999465942383,86.7699966430664
2010-01-25,109.7699966430664,91.58000183105469,107.4800033569336,25.40999984741211,86.9000015258789
2010-01-26,109.30999755859375,91.61000061035156,107.55999755859375,24.549999237060547,87.01000213623047
2010-01-27,109.83000183105469,91.55999755859375,106.52999877929688,23.139999389648438,87.04000091552734
2010-01-28,108.56999969482422,91.51000213623047,106.4800033569336,23.729999542236328,86.66999816894531
2010-01-29,107.38999938964844,92.30999755859375,105.95999908447266,24.6200008392334,86.2300033569336
2010-02-01,109.05999755859375,91.1500015258789,108.3499984741211,22.59000015258789,85.9800033569336
2010-02-02,110.37999725341797,91.41000366210938,109.12999725341797,21.479999542236328,86.23999786376953
2010-02-03,109.83000183105469,90.3499984741211,108.69999694824219,21.600000381469727,86.68000030517578
2010-02-04,106.44000244140625,91.77999877929688,104.37000274658203,26.079999923706055,85.44999694824219
2010-02-05,106.66000366210938,91.9800033569336,104.68000030517578,26.110000610351562,84.94999694824219
2010-02-08,105.88999938964844,92.0999984741211,104.04000091552734,26.510000228881836,84.58000183105469
2010-02-09,107.22000122070312,91.18000030517578,105.41000366210938,26.0,84.75
2010-02-10,107.01000213623047,90.30999755859375,105.12000274658203,25.399999618530273,83.61000061035156
2010-02-11,108.12999725341797,89.81999969482422,107.12999725341797,23.959999084472656,83.94999694824219
2010-02-12,108.04000091552734,90.19000244140625,107.04000091552734,22.729999542236328,83.9000015258789
2010-02-16,109.73999786376953,90.36000061035156,109.62000274658203,22.25,84.7300033569336
2010-02-17,110.26000213623047,89.33000183105469,109.25,21.719999313354492,85.37999725341797
2010-02-18,110.91000366210938,88.97000122070312,109.9800033569336,20.6299991607666,86.19000244140625
2010-02-19,111.13999938964844,89.44999694824219,109.47000122070312,20.020000457763672,86.7699966430664
2010-02-22,111.16000366210938,89.08000183105469,109.06999969482422,19.940000534057617,86.87999725341797
2010-02-23,109.80999755859375,90.47000122070312,107.88999938964844,21.3700008392334,86.25
2010-02-24,110.81999969482422,90.69000244140625,107.36000061035156,20.270000457763672,86.58000183105469
2010-02-25,110.66999816894531,91.19999694824219,108.30999755859375,20.100000381469727,86.58999633789062
2010-02-26,110.73999786376953,91.66999816894531,109.43000030517578,19.5,87.16999816894531
2010-03-01,111.88999938964844,91.33999633789062,109.43000030517578,19.260000228881836,86.58999633789062
2010-03-02,112.19999694824219,91.22000122070312,111.0199966430664,19.059999465942383,87.1500015258789
2010-03-03,112.30000305175781,90.98999786376953,111.62999725341797,18.829999923706055,87.23999786376953
2010-03-04,112.63999938964844,91.47000122070312,110.83000183105469,18.719999313354492,87.30999755859375
2010-03-05,114.25,90.2699966430664,110.80999755859375,17.420000076293945,87.83000183105469
2010-03-08,114.2699966430664,89.80000305175781,109.87999725341797,17.790000915527344,87.8499984741211
2010-03-09,114.45999908447266,89.81999969482422,109.72000122070312,17.920000076293945,88.2300033569336
2010-03-10,114.97000122070312,89.58999633789062,108.47000122070312,18.56999969482422,88.26000213623047
2010-03-11,115.44999694824219,89.91999816894531,108.5999984741211,18.059999465942383,88.18000030517578
2010-03-12,115.45999908447266,90.4800033569336,107.94999694824219,17.579999923706055,88.19999694824219
2010-03-15,115.48999786376953,90.36000061035156,108.36000061035156,18.0,88.0999984741211
2010-03-16,116.41000366210938,91.08000183105469,110.4000015258789,17.690000534057617,88.4000015258789
2010-03-17,117.0999984741211,91.47000122070312,109.58999633789062,16.90999984741211,88.4000015258789
2010-03-18,117.04000091552734,91.16999816894531,110.33999633789062,16.6200008392334,88.52999877929688
2010-03-19,115.97000122070312,91.26000213623047,108.27999877929688,16.969999313354492,88.08999633789062
2010-03-22,116.58999633789062,91.36000061035156,107.75,16.8700008392334,88.51000213623047
2010-03-23,117.41000366210938,90.93000030517578,108.31999969482422,16.350000381469727,88.5
2010-03-24,116.83999633789062,89.2699966430664,106.30000305175781,17.549999237060547,88.44999694824219
2010-03-25,116.6500015258789,88.69999694824219,106.77999877929688,18.399999618530273,88.66000366210938
2010-03-26,116.58000183105469,88.94999694824219,108.58999633789062,17.770000457763672,88.62999725341797
2010-03-29,117.31999969482422,88.61000061035156,108.75,17.59000015258789,88.73999786376953
2010-03-30,117.4000015258789,88.88999938964844,107.97000122070312,17.1299991607666,88.6500015258789
2010-03-31,117.0,89.5,108.94999694824219,17.59000015258789,88.37000274658203
2010-04-01,117.80000305175781,88.94999694824219,110.26000213623047,17.469999313354492,87.5
2010-04-05,118.76000213623047,87.47000122070312,110.88999938964844,17.020000457763672,87.45999908447266
2010-04-06,119.04000091552734,87.61000061035156,111.02999877929688,16.229999542236328,88.02999877929688
2010-04-07,118.36000061035156,88.7300033569336,112.48999786376953,16.6200008392334,88.16000366210938
2010-04-08,118.7699966430664,88.7699966430664,112.6500015258789,16.479999542236328,88.30999755859375
2010-04-09,119.55000305175781,88.9800033569336,113.63999938964844,16.139999389648438,88.44000244140625
2010-04-12,119.73999786376953,89.44999694824219,113.01000213623047,15.579999923706055,88.45999908447266
2010-04-13,119.83000183105469,89.73999786376953,112.69000244140625,16.200000762939453,88.69999694824219
2010-04-14,121.19000244140625,89.11000061035156,113.02999877929688,15.59000015258789,88.94000244140625
2010-04-15,121.29000091552734,89.20999908447266,113.6500015258789,15.890000343322754,89.18000030517578
2010-04-16,119.36000061035156,89.86000061035156,111.23999786376953,18.360000610351562,88.45999908447266
2010-04-19,119.80999755859375,89.63999938964844,111.1500015258789,17.34000015258789,88.29000091552734
2010-04-20,120.87999725341797,89.95999908447266,111.45999908447266,15.729999542236328,89.23999786376953
2010-04-21,120.66000366210938,90.69999694824219,112.30999755859375,16.31999969482422,89.25
2010-04-22,121.0199966430664,90.43000030517578,111.83999633789062,16.469999313354492,88.98999786376953
2010-04-23,121.80999755859375,90.11000061035156,113.19000244140625,16.6200008392334,89.56999969482422
2010-04-26,121.3499984741211,90.20999908447266,112.75,17.469999313354492,89.56999969482422
2010-04-27,118.4800033569336,91.4800033569336,114.62999725341797,22.809999465942383,88.44000244140625
2010-04-28,119.37999725341797,90.69999694824219,114.30999755859375,21.079999923706055,88.5
2010-04-29,120.86000061035156,91.08000183105469,114.27999877929688,18.440000534057617,89.11000061035156
2010-04-30,118.80999755859375,92.12999725341797,115.36000061035156,22.049999237060547,89.4000015258789
2010-05-03,120.3499984741211,91.69000244140625,115.7300033569336,20.190000534057617,88.75
2010-05-04,117.5199966430664,93.33999633789062,114.87000274658203,23.84000015258789,87.83999633789062
2010-05-05,116.81999969482422,93.88999938964844,115.08999633789062,24.90999984741211,86.63999938964844
2010-05-06,112.94000244140625,96.79000091552734,118.48999786376953,32.79999923706055,84.48999786376953
2010-05-07,111.26000213623047,95.58000183105469,118.2699966430664,40.95000076293945,84.4800033569336
2010-05-10,116.16000366210938,93.5999984741211,117.56999969482422,28.84000015258789,86.05999755859375
2010-05-11,115.83000183105469,93.36000061035156,120.66000366210938,28.31999969482422,85.95999908447266
2010-05-12,117.44999694824219,92.6500015258789,121.4000015258789,25.520000457763672,87.01000213623047
2010-05-13,115.98999786376953,93.26000213623047,120.55999755859375,26.68000030517578,86.47000122070312
2010-05-14,113.88999938964844,94.87999725341797,120.37000274658203,31.239999771118164,85.97000122070312
2010-05-17,113.94999694824219,94.52999877929688,119.36000061035156,30.84000015258789,85.86000061035156
2010-05-18,112.4000015258789,95.9800033569336,119.48999786376953,33.54999923706055,85.68000030517578
2010-05-19,111.76000213623047,96.30000305175781,116.62999725341797,35.31999969482422,85.18000030517578
2010-05-20,107.54000091552734,98.33000183105469,115.83999633789062,45.790000915527344,82.63999938964844
2010-05-21,109.11000061035156,98.43000030517578,115.22000122070312,40.099998474121094,84.30000305175781
2010-05-24,107.70999908447266,98.08999633789062,116.83999633789062,38.31999969482422,84.43000030517578
2010-05-25,107.81999969482422,98.56999969482422,117.36000061035156,34.61000061035156,84.33000183105469
2010-05-26,107.16999816894531,98.29000091552734,118.47000122070312,35.02000045776367,83.31999969482422
2010-05-27,110.76000213623047,96.05999755859375,118.69000244140625,29.68000030517578,84.47000122070312
