Date,hang_seng
2019-05-31,26901.08984375
2019-06-03,26893.859375
2019-06-04,26761.51953125
2019-06-05,26895.439453125
2019-06-06,26965.279296875
2019-06-10,27578.640625
2019-06-11,27789.33984375
2019-06-12,27308.4609375
2019-06-13,27294.7109375
2019-06-14,27118.349609375
2019-06-17,27227.16015625
2019-06-18,27498.76953125
2019-06-19,28202.140625
2019-06-20,28550.4296875
2019-06-21,28473.7109375
2019-06-24,28513.0
2019-06-25,28185.98046875
2019-06-26,28221.98046875
2019-06-27,28621.419921875
2019-06-28,28542.619140625
2019-07-02,28875.560546875
2019-07-03,28855.140625
2019-07-04,28795.76953125
2019-07-05,28774.830078125
2019-07-08,28331.689453125
2019-07-09,28116.279296875
2019-07-10,28204.689453125
2019-07-11,28431.80078125
2019-07-12,28471.619140625
2019-07-15,28554.880859375
2019-07-16,28619.619140625
2019-07-17,28593.169921875
2019-07-18,28461.66015625
2019-07-19,28765.400390625
2019-07-22,28371.259765625
2019-07-23,28466.48046875
2019-07-24,28524.0390625
2019-07-25,28594.30078125
2019-07-26,28397.740234375
2019-07-29,28106.41015625
2019-07-30,28146.5
2019-07-31,27777.75
2019-08-01,27565.69921875
2019-08-02,26918.580078125
2019-08-05,26151.3203125
2019-08-06,25976.240234375
2019-08-07,25997.029296875
2019-08-08,26120.76953125
2019-08-09,25939.30078125
2019-08-12,25824.720703125
2019-08-13,25281.30078125
2019-08-14,25302.279296875
2019-08-15,25495.4609375
2019-08-16,25734.220703125
2019-08-19,26291.83984375
2019-08-20,26231.5390625
2019-08-21,26270.0390625
2019-08-22,26048.720703125
2019-08-23,26179.330078125
2019-08-26,25680.330078125
2019-08-27,25664.0703125
2019-08-28,25615.48046875
2019-08-29,25703.5
2019-08-30,25724.73046875
2019-09-02,25626.55078125
2019-09-03,25527.849609375
2019-09-04,26523.23046875
2019-09-05,26515.529296875
2019-09-06,26690.759765625
2019-09-09,26681.400390625
2019-09-10,26683.6796875
2019-09-11,27159.060546875
2019-09-12,27087.630859375
2019-09-13,27352.689453125
2019-09-16,27124.55078125
2019-09-17,26790.240234375
2019-09-18,26754.119140625
2019-09-19,26468.94921875
2019-09-20,26435.669921875
2019-09-23,26222.400390625
2019-09-24,26281.0
2019-09-25,25945.349609375
2019-09-26,26041.9296875
2019-09-27,25954.810546875
2019-09-30,26092.26953125
2019-10-02,26042.689453125
2019-10-03,26110.310546875
2019-10-04,25821.029296875
2019-10-08,25893.400390625
2019-10-09,25682.810546875
2019-10-10,25707.9296875
2019-10-11,26308.439453125
2019-10-14,26521.849609375
2019-10-15,26503.9296875
2019-10-16,26664.279296875
2019-10-17,26848.490234375
2019-10-18,26719.580078125
2019-10-21,26725.6796875
2019-10-22,26786.19921875
2019-10-23,26566.73046875
2019-10-24,26797.94921875
2019-10-25,26667.390625
2019-10-28,26891.259765625
2019-10-29,26786.759765625
2019-10-30,26667.7109375
2019-10-31,26906.720703125
2019-11-01,27100.759765625
2019-11-04,27547.30078125
2019-11-05,27683.400390625
2019-11-06,27688.640625
2019-11-07,27847.23046875
2019-11-08,27651.140625
2019-11-11,26926.55078125
2019-11-12,27065.279296875
2019-11-13,26571.4609375
2019-11-14,26323.689453125
2019-11-15,26326.66015625
2019-11-18,26681.08984375
2019-11-19,27093.80078125
2019-11-20,26889.609375
2019-11-21,26466.880859375
2019-11-22,26595.080078125
2019-11-25,26993.0390625
2019-11-26,26913.919921875
2019-11-27,26954.0
2019-11-28,26893.73046875
2019-11-29,26346.490234375
2019-12-02,26444.720703125
2019-12-03,26391.30078125
2019-12-04,26062.560546875
2019-12-05,26217.0390625
2019-12-06,26498.369140625
2019-12-09,26494.73046875
2019-12-10,26436.619140625
2019-12-11,26645.4296875
2019-12-12,26994.140625
2019-12-13,27687.759765625
2019-12-16,27508.08984375
2019-12-17,27843.7109375
2019-12-18,27884.2109375
2019-12-19,27800.490234375
2019-12-20,27871.349609375
2019-12-23,27906.41015625
2019-12-24,27864.2109375
2019-12-27,28225.419921875
2019-12-30,28319.390625
2019-12-31,28189.75
2020-01-02,28543.51953125
2020-01-03,28451.5
2020-01-06,28226.189453125
2020-01-07,28322.060546875
2020-01-08,28087.919921875
2020-01-09,28561.0
2020-01-10,28638.19921875
2020-01-13,28954.939453125
2020-01-14,28885.140625
2020-01-15,28773.58984375
2020-01-16,28883.0390625
2020-01-17,29056.419921875
2020-01-20,28795.91015625
2020-01-21,27985.330078125
2020-01-22,28341.0390625
2020-01-23,27909.119140625
2020-01-24,27949.640625
2020-01-29,27160.630859375
2020-01-30,26449.130859375
2020-01-31,26312.630859375
2020-02-03,26356.98046875
2020-02-04,26675.98046875
2020-02-05,26786.740234375
2020-02-06,27493.69921875
2020-02-07,27404.26953125
2020-02-10,27241.33984375
2020-02-11,27583.880859375
2020-02-12,27823.66015625
2020-02-13,27730.0
2020-02-14,27815.599609375
2020-02-17,27959.599609375
2020-02-18,27530.19921875
2020-02-19,27655.810546875
2020-02-20,27609.16015625
2020-02-21,27308.810546875
2020-02-24,26820.880859375
2020-02-25,26893.23046875
2020-02-26,26696.490234375
2020-02-27,26778.619140625
2020-02-28,26129.9296875
2020-03-02,26291.6796875
2020-03-03,26284.8203125
2020-03-04,26222.0703125
2020-03-05,26767.869140625
2020-03-06,26146.669921875
2020-03-09,25040.4609375
2020-03-10,25392.509765625
2020-03-11,25231.609375
2020-03-12,24309.0703125
2020-03-13,24032.91015625
2020-03-16,23063.5703125
2020-03-17,23263.73046875
2020-03-18,22291.8203125
2020-03-19,21709.130859375
2020-03-20,22805.0703125
2020-03-23,21696.130859375
2020-03-24,22663.490234375
2020-03-25,23527.189453125
2020-03-26,23352.33984375
2020-03-27,23484.279296875
2020-03-30,23175.109375
2020-03-31,23603.48046875
2020-04-01,23085.7890625
2020-04-02,23280.060546875
2020-04-03,23236.109375
2020-04-06,23749.119140625
2020-04-07,24253.2890625
2020-04-08,23970.369140625
2020-04-09,24300.330078125
2020-04-14,24435.400390625
2020-04-15,24145.33984375
2020-04-16,24006.44921875
2020-04-17,24380.0
2020-04-20,24330.01953125
2020-04-21,23793.55078125
2020-04-22,23893.359375
2020-04-23,23977.3203125
2020-04-24,23831.330078125
2020-04-27,24280.140625
2020-04-28,24575.9609375
2020-04-29,24643.58984375
2020-05-04,23613.80078125
2020-05-05,23868.66015625
2020-05-06,24137.48046875
2020-05-07,23980.630859375
2020-05-08,24230.169921875
2020-05-11,24602.060546875
2020-05-12,24245.6796875
2020-05-13,24180.30078125
2020-05-14,23829.740234375
2020-05-15,23797.470703125
2020-05-18,23934.76953125
2020-05-19,24388.130859375
2020-05-20,24399.94921875
2020-05-21,24280.029296875
2020-05-22,22930.140625
2020-05-25,22952.240234375
2020-05-26,23384.66015625
2020-05-27,23301.359375
2020-05-28,23132.759765625
2020-05-29,22961.470703125
2020-06-01,23732.51953125
2020-06-02,23995.939453125
2020-06-03,24325.619140625
2020-06-04,24366.30078125
2020-06-05,24770.41015625
2020-06-08,24776.76953125
2020-06-09,25057.220703125
2020-06-10,25049.73046875
2020-06-11,24480.150390625
2020-06-12,24301.380859375
2020-06-15,23776.94921875
2020-06-16,24344.08984375
2020-06-17,24481.41015625
2020-06-18,24464.939453125
2020-06-19,24643.890625
2020-06-22,24511.33984375
2020-06-23,24907.33984375
2020-06-24,24781.580078125
2020-06-26,24549.990234375
2020-06-29,24301.279296875
2020-06-30,24427.189453125
2020-07-02,25124.189453125
2020-07-03,25373.119140625
2020-07-06,26339.16015625
2020-07-07,25975.66015625
2020-07-08,26129.1796875
2020-07-09,26210.16015625
2020-07-10,25727.41015625
2020-07-13,25772.119140625
2020-07-14,25477.890625
2020-07-15,25481.580078125
2020-07-16,24970.689453125
2020-07-17,25089.169921875
2020-07-20,25057.990234375
2020-07-21,25635.66015625
2020-07-22,25057.939453125
2020-07-23,25263.0
2020-07-24,24705.330078125
2020-07-27,24603.259765625
2020-07-28,24772.759765625
2020-07-29,24883.140625
2020-07-30,24710.58984375
2020-07-31,24595.349609375
2020-08-03,24458.130859375
2020-08-04,24946.630859375
2020-08-05,25102.5390625
2020-08-06,24930.580078125
2020-08-07,24531.619140625
2020-08-10,24377.4296875
2020-08-11,24890.6796875
2020-08-12,25244.01953125
2020-08-13,25230.669921875
2020-08-14,25183.009765625
2020-08-17,25347.33984375
2020-08-18,25367.380859375
2020-08-19,25178.91015625
2020-08-20,24791.390625
2020-08-21,25113.83984375
2020-08-24,25551.580078125
2020-08-25,25486.220703125
2020-08-26,25491.7890625
2020-08-27,25281.150390625
2020-08-28,25422.060546875
2020-08-31,25177.05078125
2020-09-01,25184.849609375
2020-09-02,25120.08984375
2020-09-03,25007.599609375
2020-09-04,24695.44921875
2020-09-07,24589.650390625
2020-09-08,24624.33984375
2020-09-09,24468.9296875
2020-09-10,24313.5390625
2020-09-11,24503.310546875
2020-09-14,24640.279296875
2020-09-15,24732.759765625
2020-09-16,24725.630859375
2020-09-17,24340.849609375
2020-09-18,24455.41015625
2020-09-21,23950.689453125
2020-09-22,23716.849609375
2020-09-23,23742.509765625
2020-09-24,23311.0703125
2020-09-25,23235.419921875
2020-09-28,23476.05078125
2020-09-29,23275.529296875
2020-09-30,23459.05078125
2020-10-05,23767.779296875
2020-10-06,23980.650390625
2020-10-07,24242.859375
2020-10-08,24193.349609375
2020-10-09,24119.130859375
2020-10-12,24649.6796875
2020-10-14,24667.08984375
2020-10-15,24158.5390625
2020-10-16,24386.7890625
2020-10-19,24542.259765625
2020-10-20,24569.5390625
2020-10-21,24754.419921875
2020-10-22,24786.130859375
2020-10-23,24918.779296875
2020-10-27,24787.189453125
2020-10-28,24708.80078125
2020-10-29,24586.599609375
2020-10-30,24107.419921875
2020-11-02,24460.009765625
2020-11-03,24939.73046875
2020-11-04,24886.140625
2020-11-05,25695.919921875
2020-11-06,25712.970703125
2020-11-09,26016.169921875
2020-11-10,26301.48046875
2020-11-11,26226.98046875
2020-11-12,26169.380859375
2020-11-13,26156.859375
2020-11-16,26381.669921875
